keys,en,mi,es,de,ru,ja,ar,hi
Select a cell to set the fade target level.,Select a cell to set the fade target level.,Select a cell to set the fade target level.,Select a cell to set the fade target level.,Select a cell to set the fade target level.,Select a cell to set the fade target level.,Select a cell to set the fade target level.,Select a cell to set the fade target level.,Select a cell to set the fade target level.
Select a cue to edit its timeline,Select a cue to edit its timeline,Select a cue to edit its timeline,Select a cue to edit its timeline,Select a cue to edit its timeline,Select a cue to edit its timeline,Select a cue to edit its timeline,Select a cue to edit its timeline,Select a cue to edit its timeline
Select a library cue to see details.,Select a library cue to see details.,Select a library cue to see details.,Select a library cue to see details.,Select a library cue to see details.,Select a library cue to see details.,Select a library cue to see details.,Select a library cue to see details.,Select a library cue to see details.
Select All,Select All,Tīpako katoa,Seleccionar todo,Alles auswählen,Выделить всё,すべて選択,تحديد الكل,सभी चुनें
Select an available MIDI input to add it to this session.,Select an available MIDI input to add it to this session.,Select an available MIDI input to add it to this session.,Select an available MIDI input to add it to this session.,Select an available MIDI input to add it to this session.,Select an available MIDI input to add it to this session.,Select an available MIDI input to add it to this session.,Select an available MIDI input to add it to this session.,Select an available MIDI input to add it to this session.
Select an available MIDI output to add it to this session.,Select an available MIDI output to add it to this session.,Select an available MIDI output to add it to this session.,Select an available MIDI output to add it to this session.,Select an available MIDI output to add it to this session.,Select an available MIDI output to add it to this session.,Select an available MIDI output to add it to this session.,Select an available MIDI output to add it to this session.,Select an available MIDI output to add it to this session.
Select an item in the structure tree.,Select an item in the structure tree.,Select an item in the structure tree.,Select an item in the structure tree.,Select an item in the structure tree.,Select an item in the structure tree.,Select an item in the structure tree.,Select an item in the structure tree.,Select an item in the structure tree.
Select by id.,Select by id.,Select by id.,Select by id.,Select by id.,Select by id.,Select by id.,Select by id.,Select by id.
Select by name.,Select by name.,Select by name.,Select by name.,Select by name.,Select by name.,Select by name.,Select by name.,Select by name.
Select by number.,Select by number.,Select by number.,Select by number.,Select by number.,Select by number.,Select by number.,Select by number.,Select by number.
"Select Canvas, a Screen, or a Target Layer.","Select Canvas, a Screen, or a Target Layer.","Tīpakohia te Papa, tētahi Mata, tētahi Paparanga ūnga rānei.","Selecciona Lienzo, una Pantalla o una Capa destino.","Canvas, einen Bildschirm oder eine Zielebene wählen.","Выберите холст, экран или целевой слой.",キャンバス、スクリーン、またはターゲットレイヤーを選択。,اختر اللوحة أو شاشة أو طبقة مستهدفة.,"कैनवास, स्क्रीन या लक्ष्य परत चुनें।"
Select categories to include when saving or loading settings,Select categories to include when saving or loading settings,Select categories to include when saving or loading settings,Select categories to include when saving or loading settings,Select categories to include when saving or loading settings,Select categories to include when saving or loading settings,Select categories to include when saving or loading settings,Select categories to include when saving or loading settings,Select categories to include when saving or loading settings
Select Connection,Select Connection,Tīpako hononga,Seleccionar conexión,Verbindung wählen,Выберите подключение,接続を選択,اختر اتصالاً,कनेक्शन चुनें
Select device to add…,Select device to add…,Tīpakohia he pūrere hei tāpiri…,Seleccionar dispositivo para añadir…,Gerät zum Hinzufügen wählen…,Выберите устройство…,追加するデバイスを選択…,اختر جهازاً لإضافته…,जोड़ने के लिए डिवाइस चुनें…
Select File,Select File,Tīpako kōnae,Seleccionar archivo,Datei wählen,Выберите файл,ファイルを選択,اختر ملفاً,फ़ाइल चुनें
Select new cues,Select new cues,Tīpako tohu hou,Seleccionar cues nuevas,Neue Cues auswählen,Выделять новые реплики,新しいキューを選択,تحديد الإشارات الجديدة,नए क्यू चुनें
Select output to add…,Select output to add…,Tīpakohia he putanga hei tāpiri…,Seleccionar salida para añadir…,Ausgang zum Hinzufügen wählen…,Выберите выход…,追加する出力を選択…,اختر مخرجاً لإضافته…,जोड़ने के लिए आउटपुट चुनें…
Select previous cue.,Select previous cue.,Select previous cue.,Select previous cue.,Select previous cue.,Select previous cue.,Select previous cue.,Select previous cue.,Select previous cue.
Select Video or Image File,Select Video or Image File,"Tīpako kōnae ataata, atahanga rānei",Seleccionar vídeo o imagen,Video- oder Bilddatei wählen,Выберите видео или изображение,ビデオまたは画像ファイルを選択,اختر ملف فيديو أو صورة,वीडियो या छवि फ़ाइल चुनें
Selected alias.,Selected alias.,Selected alias.,Selected alias.,Selected alias.,Selected alias.,Selected alias.,Selected alias.,Selected alias.
Send All Notes Off / All Sound Off on all open outputs.,Send All Notes Off / All Sound Off on all open outputs.,Send All Notes Off / All Sound Off on all open outputs.,Send All Notes Off / All Sound Off on all open outputs.,Send All Notes Off / All Sound Off on all open outputs.,Send All Notes Off / All Sound Off on all open outputs.,Send All Notes Off / All Sound Off on all open outputs.,Send All Notes Off / All Sound Off on all open outputs.,Send All Notes Off / All Sound Off on all open outputs.
Send on all OSC connections.,Send on all OSC connections.,Send on all OSC connections.,Send on all OSC connections.,Send on all OSC connections.,Send on all OSC connections.,Send on all OSC connections.,Send on all OSC connections.,Send on all OSC connections.
"Send the test message on the selected connection (or all, if chosen).","Send the test message on the selected connection (or all, if chosen).","Send the test message on the selected connection (or all, if chosen).","Send the test message on the selected connection (or all, if chosen).","Send the test message on the selected connection (or all, if chosen).","Send the test message on the selected connection (or all, if chosen).","Send the test message on the selected connection (or all, if chosen).","Send the test message on the selected connection (or all, if chosen).","Send the test message on the selected connection (or all, if chosen)."
Send this OSC message now (does not GO the cue).,Send this OSC message now (does not GO the cue).,Tukuna tēnei karere OSC ināianei (kāore e HAERE i te tohu).,Enviar este mensaje OSC ahora (no hace GO de la cue).,Diese OSC-Nachricht jetzt senden (GO’t den Cue nicht).,Отправить это OSC-сообщение сейчас (не запускает реплику).,この OSC メッセージを今送信（キューは GO しません）。,أرسل رسالة OSC هذه الآن (لا تشغّل الإشارة).,यह OSC संदेश अभी भेजें (क्यू GO नहीं होता)।
Session,Session,Wātū,Sesión,Sitzung,Сессия,セッション,الجلسة,सत्र
session ({0}),session ({0}),wātū ({0}),sesión ({0}),Sitzung ({0}),сессия ({0}),セッション ({0}),جلسة ({0}),सत्र ({0})
session device offline,session device offline,pūrere wātū tūātea,dispositivo de sesión desconectado,Sitzungsgerät offline,устройство сессии не в сети,セッションデバイスがオフライン,جهاز الجلسة غير متصل,सत्र डिवाइस ऑफ़लाइन
Session inputs,Session inputs,Ngā tāuru wātū,Entradas de sesión,Sitzungseingänge,Входы сессии,セッション入力,مداخل الجلسة,सत्र इनपुट
Session name,Session name,Ingoa wātū,Nombre de sesión,Sitzungsname,Имя сессии,セッション名,اسم الجلسة,सत्र नाम
Session outputs,Session outputs,Ngā putanga wātū,Salidas de sesión,Sitzungsausgänge,Выходы сессии,セッション出力,مخارج الجلسة,सत्र आउटपुट
session — MIDI off,session — MIDI off,wātū — MIDI weto,sesión — MIDI apagado,Sitzung — MIDI aus,сессия — MIDI выкл.,セッション — MIDI オフ,جلسة — MIDI متوقف,सत्र — MIDI बंद
Session-wide gain applied to all cue audio (standalone and video embedded). Enter dB (0dB = full).,Session-wide gain applied to all cue audio (standalone and video embedded). Enter dB (0dB = full).,Session-wide gain applied to all cue audio (standalone and video embedded). Enter dB (0dB = full).,Session-wide gain applied to all cue audio (standalone and video embedded). Enter dB (0dB = full).,Session-wide gain applied to all cue audio (standalone and video embedded). Enter dB (0dB = full).,Session-wide gain applied to all cue audio (standalone and video embedded). Enter dB (0dB = full).,Session-wide gain applied to all cue audio (standalone and video embedded). Enter dB (0dB = full).,Session-wide gain applied to all cue audio (standalone and video embedded). Enter dB (0dB = full).,Session-wide gain applied to all cue audio (standalone and video embedded). Enter dB (0dB = full).
Settings,Settings,Tautuhinga,Ajustes,Einstellungen,Настройки,設定,الإعدادات,सेटिंग्स
SETTINGS_LANGUAGE,Language,Reo,Idioma,Sprache,Язык,言語,اللغة,भाषा
SETTINGS_LANGUAGE_TOOLTIP,Application interface language. Applies immediately and is saved as a user preference.,"Te reo o te atanga. Ka whakamahia tonutia, ā, ka tiakina hei manakohanga kaiwhakamahi.",Idioma de la interfaz. Se aplica de inmediato y se guarda como preferencia de usuario.,Sprache der Anwendungsschnittstelle. Wird sofort übernommen und als Benutzereinstellung gespeichert.,Язык интерфейса. Применяется сразу и сохраняется в настройках пользователя.,アプリケーションの表示言語。すぐに適用され、ユーザー設定として保存されます。,لغة واجهة التطبيق. تُطبَّق فوراً وتُحفظ كتفضيل مستخدم.,एप्लिकेशन इंटरफ़ेस भाषा। तुरंत लागू होती है और उपयोगकर्ता वरीयता के रूप में सहेजी जाती है।
Settings…,Settings…,Tautuhinga…,Ajustes…,Einstellungen…,Настройки…,設定…,الإعدادات…,सेटिंग्स…
Shell,Shell,Anga,Cáscara,Hülle,Оболочка,シェル,الغلاف,शेल
Shell + Audio / Video / Text inspectors multi-edit selected cues.,Shell + Audio / Video / Text inspectors multi-edit selected cues.,Shell + Audio / Video / Text inspectors multi-edit selected cues.,Shell + Audio / Video / Text inspectors multi-edit selected cues.,Shell + Audio / Video / Text inspectors multi-edit selected cues.,Shell + Audio / Video / Text inspectors multi-edit selected cues.,Shell + Audio / Video / Text inspectors multi-edit selected cues.,Shell + Audio / Video / Text inspectors multi-edit selected cues.,Shell + Audio / Video / Text inspectors multi-edit selected cues.
Shell Colour,Shell Colour,Tae anga,Color del shell,Hüllenfarbe,Цвет оболочки,シェルの色,لون الغلاف,शेल रंग
Show application menu,Show application menu,Whakaatu tahua taupānga,Mostrar menú de la aplicación,Anwendungsmenü anzeigen,Показать меню приложения,アプリメニューを表示,عرض قائمة التطبيق,ऐप मेनू दिखाएँ
Show Files,Show Files,Kōnae whakaaturanga,Archivos del show,Show-Dateien,Файлы шоу,ショーファイル,ملفات العرض,शो फ़ाइलें
Show Mode,Show Mode,Aratau whakaaturanga,Modo show,Show-Modus,Режим шоу,ショーモード,وضع العرض,शो मोड
"Show Mode locks cue editing for live performance.
","Show Mode locks cue editing for live performance.
","Show Mode locks cue editing for live performance.
","Show Mode locks cue editing for live performance.
","Show Mode locks cue editing for live performance.
","Show Mode locks cue editing for live performance.
","Show Mode locks cue editing for live performance.
","Show Mode locks cue editing for live performance.
","Show Mode locks cue editing for live performance.
"
"Show Mode locks cue editing for live performance.
Off = Edit Mode (default): full cue editing.
On = Show Mode: inspectors hidden, shell edits and cue structure locked.
Saved with the showfile.","Show Mode locks cue editing for live performance.
Off = Edit Mode (default): full cue editing.
On = Show Mode: inspectors hidden, shell edits and cue structure locked.
Saved with the showfile.","Ka raka te Aratau Whakaaturanga i te whakatika tohu mō te mahi ora.
Weto = Aratau Whakatika (taunoa): whakatika tohu katoa.
Kā = Aratau Whakaaturanga: hunaia ngā kaitirotiro, raka te anga me te hanga tohu.
Ka tiakina ki te kōnae whakaaturanga.","El modo show bloquea la edición de cues en vivo.
Off = Modo edición (predeterminado): edición completa.
On = Modo show: inspectores ocultos, shell y estructura bloqueados.
Se guarda con el show.","Show Mode locks cue editing for live performance.
Off = Edit Mode (default): full cue editing.
On = Show Mode: inspectors hidden, shell edits and cue structure locked.
Saved with the showfile.","Show Mode locks cue editing for live performance.
Off = Edit Mode (default): full cue editing.
On = Show Mode: inspectors hidden, shell edits and cue structure locked.
Saved with the showfile.","Show Mode locks cue editing for live performance.
Off = Edit Mode (default): full cue editing.
On = Show Mode: inspectors hidden, shell edits and cue structure locked.
Saved with the showfile.","Show Mode locks cue editing for live performance.
Off = Edit Mode (default): full cue editing.
On = Show Mode: inspectors hidden, shell edits and cue structure locked.
Saved with the showfile.","Show Mode locks cue editing for live performance.
Off = Edit Mode (default): full cue editing.
On = Show Mode: inspectors hidden, shell edits and cue structure locked.
Saved with the showfile."
Show units configuration.,Show units configuration.,Show units configuration.,Show units configuration.,Show units configuration.,Show units configuration.,Show units configuration.,Show units configuration.,Show units configuration.
Show waveforms on Timeline Inspector cue bars.,Show waveforms on Timeline Inspector cue bars.,Show waveforms on Timeline Inspector cue bars.,Show waveforms on Timeline Inspector cue bars.,Show waveforms on Timeline Inspector cue bars.,Show waveforms on Timeline Inspector cue bars.,Show waveforms on Timeline Inspector cue bars.,Show waveforms on Timeline Inspector cue bars.,Show waveforms on Timeline Inspector cue bars.
Show-scoped playback performance for standalone audio and video embedded audio. Routing lives under Audio Output Patch; new-cue defaults under Cue Defaults.,Show-scoped playback performance for standalone audio and video embedded audio. Routing lives under Audio Output Patch; new-cue defaults under Cue Defaults.,Show-scoped playback performance for standalone audio and video embedded audio. Routing lives under Audio Output Patch; new-cue defaults under Cue Defaults.,Show-scoped playback performance for standalone audio and video embedded audio. Routing lives under Audio Output Patch; new-cue defaults under Cue Defaults.,Show-scoped playback performance for standalone audio and video embedded audio. Routing lives under Audio Output Patch; new-cue defaults under Cue Defaults.,Show-scoped playback performance for standalone audio and video embedded audio. Routing lives under Audio Output Patch; new-cue defaults under Cue Defaults.,Show-scoped playback performance for standalone audio and video embedded audio. Routing lives under Audio Output Patch; new-cue defaults under Cue Defaults.,Show-scoped playback performance for standalone audio and video embedded audio. Routing lives under Audio Output Patch; new-cue defaults under Cue Defaults.,Show-scoped playback performance for standalone audio and video embedded audio. Routing lives under Audio Output Patch; new-cue defaults under Cue Defaults.
Showfile Version Differs,Showfile Version Differs,He rerekē te putanga kōnae whakaaturanga,La versión del showfile difiere,Showfile-Version weicht ab,Версия шоу-файла отличается,ショーファイルのバージョンが異なります,إصدار ملف العرض مختلف,शोफ़ाइल संस्करण भिन्न है
Showfile-independent preferences (stored per user),Showfile-independent preferences (stored per user),Showfile-independent preferences (stored per user),Showfile-independent preferences (stored per user),Showfile-independent preferences (stored per user),Showfile-independent preferences (stored per user),Showfile-independent preferences (stored per user),Showfile-independent preferences (stored per user),Showfile-independent preferences (stored per user)
Showfile:  {0},Showfile:  {0},Kōnae whakaaturanga:  {0},Showfile:  {0},Showfile:  {0},Шоу-файл:  {0},ショーファイル:  {0},ملف العرض:  {0},शोफ़ाइल:  {0}
Showfiles,Showfiles,Showfiles,Showfiles,Showfiles,Showfiles,Showfiles,Showfiles,Showfiles
Showing 0/0 Logs,Showing 0/0 Logs,Showing 0/0 Logs,Showing 0/0 Logs,Showing 0/0 Logs,Showing 0/0 Logs,Showing 0/0 Logs,Showing 0/0 Logs,Showing 0/0 Logs
Showing {0}/{1} Logs,Showing {0}/{1} Logs,E whakaatu ana {0}/{1} rātaka,Mostrando {0}/{1} registros,{0}/{1} Protokolle angezeigt,Показано {0}/{1} записей,{0}/{1} 件のログを表示,عرض {0}/{1} سجلات,{0}/{1} लॉग दिख रहे हैं
Silence floor after mix (dBFS). Samples quieter than this become digital silence. −120dB effectively disables the gate.,Silence floor after mix (dBFS). Samples quieter than this become digital silence. −120dB effectively disables the gate.,Silence floor after mix (dBFS). Samples quieter than this become digital silence. −120dB effectively disables the gate.,Silence floor after mix (dBFS). Samples quieter than this become digital silence. −120dB effectively disables the gate.,Silence floor after mix (dBFS). Samples quieter than this become digital silence. −120dB effectively disables the gate.,Silence floor after mix (dBFS). Samples quieter than this become digital silence. −120dB effectively disables the gate.,Silence floor after mix (dBFS). Samples quieter than this become digital silence. −120dB effectively disables the gate.,Silence floor after mix (dBFS). Samples quieter than this become digital silence. −120dB effectively disables the gate.,Silence floor after mix (dBFS). Samples quieter than this become digital silence. −120dB effectively disables the gate.
Silences all cue audio immediately without changing master volume. Runtime only — not saved with the showfile.,Silences all cue audio immediately without changing master volume. Runtime only — not saved with the showfile.,Silences all cue audio immediately without changing master volume. Runtime only — not saved with the showfile.,Silences all cue audio immediately without changing master volume. Runtime only — not saved with the showfile.,Silences all cue audio immediately without changing master volume. Runtime only — not saved with the showfile.,Silences all cue audio immediately without changing master volume. Runtime only — not saved with the showfile.,Silences all cue audio immediately without changing master volume. Runtime only — not saved with the showfile.,Silences all cue audio immediately without changing master volume. Runtime only — not saved with the showfile.,Silences all cue audio immediately without changing master volume. Runtime only — not saved with the showfile.
Size,Size,Rahi,Tamaño,Größe,Размер,サイズ,الحجم,आकार
Size X,Size X,Rahi X,Tamaño X,Größe X,Размер X,サイズ X,الحجم س,आकार X
Size Y,Size Y,Rahi Y,Tamaño Y,Größe Y,Размер Y,サイズ Y,الحجم ص,आकार Y
Size:,Size:,Rahi:,Tamaño:,Größe:,Размер:,サイズ:,الحجم:,आकार:
Skip if disarmed,Skip if disarmed,Tīpoka mēnā kāore i mau,Omitir si desarmado,Überspringen wenn unscharf,Пропускать если снято,ディスアーム時はスキップ,تجاوز إن نُزع التسليح,डिस्आर्म्ड हो तो छोड़ें
Skip if disarmed:,Skip if disarmed:,Tīpoka mēnā kāore i mau:,Omitir si desarmado:,Überspringen wenn unscharf:,Пропускать если снято:,ディスアーム時はスキップ:,تجاوز إن نُزع التسليح:,डिस्आर्म्ड हो तो छोड़ें:
Skip this version,Skip this version,Skip this version,Skip this version,Skip this version,Skip this version,Skip this version,Skip this version,Skip this version
Skip waits.,Skip waits.,Skip waits.,Skip waits.,Skip waits.,Skip waits.,Skip waits.,Skip waits.,Skip waits.
"Soft knobs over prefetch ring size, drop-lateness threshold, and max frames presented per tick. Saved with the showfile.","Soft knobs over prefetch ring size, drop-lateness threshold, and max frames presented per tick. Saved with the showfile.","Soft knobs over prefetch ring size, drop-lateness threshold, and max frames presented per tick. Saved with the showfile.","Soft knobs over prefetch ring size, drop-lateness threshold, and max frames presented per tick. Saved with the showfile.","Soft knobs over prefetch ring size, drop-lateness threshold, and max frames presented per tick. Saved with the showfile.","Soft knobs over prefetch ring size, drop-lateness threshold, and max frames presented per tick. Saved with the showfile.","Soft knobs over prefetch ring size, drop-lateness threshold, and max frames presented per tick. Saved with the showfile.","Soft knobs over prefetch ring size, drop-lateness threshold, and max frames presented per tick. Saved with the showfile.","Soft knobs over prefetch ring size, drop-lateness threshold, and max frames presented per tick. Saved with the showfile."
"Soft knobs over queue depth, refill threshold, and seek/GO prefetch. Prefer low latency reduces buffer delay; Prefer stability reduces underruns under multi-cue load.","Soft knobs over queue depth, refill threshold, and seek/GO prefetch. Prefer low latency reduces buffer delay; Prefer stability reduces underruns under multi-cue load.","Soft knobs over queue depth, refill threshold, and seek/GO prefetch. Prefer low latency reduces buffer delay; Prefer stability reduces underruns under multi-cue load.","Soft knobs over queue depth, refill threshold, and seek/GO prefetch. Prefer low latency reduces buffer delay; Prefer stability reduces underruns under multi-cue load.","Soft knobs over queue depth, refill threshold, and seek/GO prefetch. Prefer low latency reduces buffer delay; Prefer stability reduces underruns under multi-cue load.","Soft knobs over queue depth, refill threshold, and seek/GO prefetch. Prefer low latency reduces buffer delay; Prefer stability reduces underruns under multi-cue load.","Soft knobs over queue depth, refill threshold, and seek/GO prefetch. Prefer low latency reduces buffer delay; Prefer stability reduces underruns under multi-cue load.","Soft knobs over queue depth, refill threshold, and seek/GO prefetch. Prefer low latency reduces buffer delay; Prefer stability reduces underruns under multi-cue load.","Soft knobs over queue depth, refill threshold, and seek/GO prefetch. Prefer low latency reduces buffer delay; Prefer stability reduces underruns under multi-cue load."
Solid colour behind all layers on every output window. Saved with the showfile.,Solid colour behind all layers on every output window. Saved with the showfile.,Solid colour behind all layers on every output window. Saved with the showfile.,Solid colour behind all layers on every output window. Saved with the showfile.,Solid colour behind all layers on every output window. Saved with the showfile.,Solid colour behind all layers on every output window. Saved with the showfile.,Solid colour behind all layers on every output window. Saved with the showfile.,Solid colour behind all layers on every output window. Saved with the showfile.,Solid colour behind all layers on every output window. Saved with the showfile.
SSID,SSID,SSID,SSID,SSID,SSID,SSID,SSID,SSID
Standby,Standby,Tū rite,Preparado,Bereit,Готовность,スタンバイ,استعداد,स्टैंडबाय
Standby Cue,Standby Cue,Tohu tātari,Cue en espera,Bereitschafts-Cue,Реплика готовности,スタンバイキュー,إشارة الاستعداد,स्टैंडबाय क्यू
Standby in Pre-Wait:,Standby in Pre-Wait:,Standby in Pre-Wait:,Standby in Pre-Wait:,Standby in Pre-Wait:,Standby in Pre-Wait:,Standby in Pre-Wait:,Standby in Pre-Wait:,Standby in Pre-Wait:
Start a waiting cue immediately (skip continue/follow and pre-wait).,Start a waiting cue immediately (skip continue/follow and pre-wait).,Tīmata wawe i tētahi tohu e tatari ana (kapea te haere/whai me te tataritanga-mua).,Iniciar de inmediato una cue en espera (omite continuar/seguir y preespera).,Wartenden Cue sofort starten (Continue/Follow und Vorwartezeit überspringen).,Немедленно запустить ожидающую реплику (пропустить continue/follow и пред-паузу).,待機中のキューを即開始（コンティニュー/フォローとプリウェイトをスキップ）。,ابدأ إشارة منتظرة فوراً (تجاوز المتابعة/التتبع والانتظار المسبق).,प्रतीक्षारत क्यू तुरंत शुरू करें (कंटिन्यू/फ़ॉलो और प्री-वेट छोड़ें)।
Start Now,Start Now,Tīmata ināianei,Empezar ahora,Sofort starten,Начать сейчас,今すぐ開始,ابدأ الآن,अभी शुरू करें
Start time (drag),Start time (drag),Wā tīmata (tō),Hora de inicio (arrastrar),Startzeit (ziehen),Время начала (перетащите),開始時間（ドラッグ）,وقت البداية (اسحب),प्रारंभ समय (खींचें)
Start Time:,Start Time:,Wā tīmata:,Hora de inicio:,Startzeit:,Время начала:,開始時間:,وقت البداية:,प्रारंभ समय:
Startup,Startup,Tīmatanga,Inicio,Start,Запуск,起動,بدء التشغيل,स्टार्टअप
Status,Status,Status,Status,Status,Status,Status,Status,Status
Stereo pan (balance) before routing matrix. Stereo embedded audio only.,Stereo pan (balance) before routing matrix. Stereo embedded audio only.,Pan oro-rua (ōrite) i mua i te mātiti arataki. Oro tāmau oro-rua anake.,Paneo estéreo (balance) antes de la matriz. Solo audio incrustado estéreo.,Stereo-Panorama (Balance) vor der Routing-Matrix. Nur eingebettetes Stereo-Audio.,Стерео-панорама до матрицы маршрутизации. Только встроенное стерео.,ルーティングマトリクス前のステレオパン。埋め込みステレオ音声のみ。,التحريك الستيريو قبل مصفوفة التوجيه. صوت ستيريو مضمّن فقط.,राउटिंग मैट्रिक्स से पहले स्टीरियो पैन। केवल एम्बेडेड स्टीरियो ऑडियो।
Stereo pan (balance) before routing matrix. Stereo files only.,Stereo pan (balance) before routing matrix. Stereo files only.,Pan oro-rua (ōrite) i mua i te mātiti arataki. Kōnae oro-rua anake.,Paneo estéreo (balance) antes de la matriz. Solo archivos estéreo.,Stereo-Panorama (Balance) vor der Routing-Matrix. Nur Stereodateien.,Стерео-панорама до матрицы маршрутизации. Только стереофайлы.,ルーティングマトリクス前のステレオパン。ステレオファイルのみ。,التحريك الستيريو قبل مصفوفة التوجيه. ملفات ستيريو فقط.,राउटिंग मैट्रिक्स से पहले स्टीरियो पैन। केवल स्टीरियो फ़ाइलें।
Stereo pan/balance.,Stereo pan/balance.,Pan/ōrite oro-rua.,Paneo/balance estéreo.,Stereo-Panorama/Balance.,Стерео-панорама/баланс.,ステレオパン/バランス。,تحريك/توازن ستيريو.,स्टीरियो पैन/बैलेंस।
Stereo pan: L ← C → R,Stereo pan: L ← C → R,Pan oro-rua: L ← C → R,Paneo estéreo: L ← C → R,Stereo-Panorama: L ← C → R,Стерео-панорама: L ← C → R,ステレオパン: L ← C → R,تحريك ستيريو: L ← C → R,स्टीरियो पैन: L ← C → R
Stereo pan: L ← C → R. Applied before the routing matrix.,Stereo pan: L ← C → R. Applied before the routing matrix.,Pan oro-rua: L ← C → R. Ka whakamahia i mua i te mātiti arataki.,Paneo estéreo: L ← C → R. Se aplica antes de la matriz.,Stereo-Panorama: L ← C → R. Wird vor der Routing-Matrix angewendet.,Стерео-панорама: L ← C → R. Применяется до матрицы маршрутизации.,ステレオパン: L ← C → R。ルーティングマトリクスの前に適用。,تحريك ستيريو: L ← C → R. يُطبَّق قبل مصفوفة التوجيه.,स्टीरियो पैन: L ← C → R। राउटिंग मैट्रिक्स से पहले लागू।
Stop,Stop,Tū,Parar,Stopp,Стоп,停止,إيقاف,रोकें
Stop All,Stop All,Katia katoa,Detener todo,Alle stoppen,Остановить все,すべて停止,إيقاف الكل,सभी रोकें
"Stop all cues
(Single click to fade and stop, double click to hard stop.)","Stop all cues
(Single click to fade and stop, double click to hard stop.)","Stop all cues
(Single click to fade and stop, double click to hard stop.)","Stop all cues
(Single click to fade and stop, double click to hard stop.)","Stop all cues
(Single click to fade and stop, double click to hard stop.)","Stop all cues
(Single click to fade and stop, double click to hard stop.)","Stop all cues
(Single click to fade and stop, double click to hard stop.)","Stop all cues
(Single click to fade and stop, double click to hard stop.)","Stop all cues
(Single click to fade and stop, double click to hard stop.)"
Stop all playing cues before installing the update.,Stop all playing cues before installing the update.,Stop all playing cues before installing the update.,Stop all playing cues before installing the update.,Stop all playing cues before installing the update.,Stop all playing cues before installing the update.,Stop all playing cues before installing the update.,Stop all playing cues before installing the update.,Stop all playing cues before installing the update.
Stop by id.,Stop by id.,Stop by id.,Stop by id.,Stop by id.,Stop by id.,Stop by id.,Stop by id.,Stop by id.
Stop by name.,Stop by name.,Stop by name.,Stop by name.,Stop by name.,Stop by name.,Stop by name.,Stop by name.,Stop by name.
Stop by number.,Stop by number.,Stop by number.,Stop by number.,Stop by number.,Stop by number.,Stop by number.,Stop by number.,Stop by number.
Stop Fade Out,Stop Fade Out,Tū memeha-atu,Parar con fundido,Stopp-Ausblendung,Затухание при стопе,ストップ時フェードアウト,تدرج الخروج عند الإيقاف,स्टॉप फ़ेड आउट
Stop fade-out time. 0 = immediate. Default follows session Stop Fade.,Stop fade-out time. 0 = immediate. Default follows session Stop Fade.,Stop fade-out time. 0 = immediate. Default follows session Stop Fade.,Stop fade-out time. 0 = immediate. Default follows session Stop Fade.,Stop fade-out time. 0 = immediate. Default follows session Stop Fade.,Stop fade-out time. 0 = immediate. Default follows session Stop Fade.,Stop fade-out time. 0 = immediate. Default follows session Stop Fade.,Stop fade-out time. 0 = immediate. Default follows session Stop Fade.,Stop fade-out time. 0 = immediate. Default follows session Stop Fade.
Stop selected.,Stop selected.,Stop selected.,Stop selected.,Stop selected.,Stop selected.,Stop selected.,Stop selected.,Stop selected.
Stretch,Stretch,Whakaroa,Estirar,Strecken,Растяжение,ストレッチ,تمديد,स्ट्रेच
Stretch:,Stretch:,Whakaroa:,Estirar:,Strecken:,Растяжение:,ストレッチ:,تمديد:,स्ट्रेच:
Sub-master level for this patch. Applied after cue volume and before device outputs.,Sub-master level for this patch. Applied after cue volume and before device outputs.,Sub-master level for this patch. Applied after cue volume and before device outputs.,Sub-master level for this patch. Applied after cue volume and before device outputs.,Sub-master level for this patch. Applied after cue volume and before device outputs.,Sub-master level for this patch. Applied after cue volume and before device outputs.,Sub-master level for this patch. Applied after cue volume and before device outputs.,Sub-master level for this patch. Applied after cue volume and before device outputs.,Sub-master level for this patch. Applied after cue volume and before device outputs.
Submit Config,Submit Config,Submit Config,Submit Config,Submit Config,Submit Config,Submit Config,Submit Config,Submit Config
Subnet,Subnet,Kupenga-iti,Subred,Subnetz,Подсеть,サブネット,الشبكة الفرعية,सबनेट
Subtitle / closed-caption track to display.,Subtitle / closed-caption track to display.,Subtitle / closed-caption track to display.,Subtitle / closed-caption track to display.,Subtitle / closed-caption track to display.,Subtitle / closed-caption track to display.,Subtitle / closed-caption track to display.,Subtitle / closed-caption track to display.,Subtitle / closed-caption track to display.
System font family name (e.g. Arial). Empty = project/theme default.,System font family name (e.g. Arial). Empty = project/theme default.,System font family name (e.g. Arial). Empty = project/theme default.,System font family name (e.g. Arial). Empty = project/theme default.,System font family name (e.g. Arial). Empty = project/theme default.,System font family name (e.g. Arial). Empty = project/theme default.,System font family name (e.g. Arial). Empty = project/theme default.,System font family name (e.g. Arial). Empty = project/theme default.,System font family name (e.g. Arial). Empty = project/theme default.
